"","course_instructor","course_name","course_rating","course_university","course_review_num","course_desc","course_url","course_provider","course_price"
"11","Training The Street (TTS)","Excel Modeling for PC: Become an Excel Expert",10,"","110 reviews","Want to increase your proficiency and efficiency in Excel? Learn the same shortcuts that Wall Street's largest firms use","https://www.coursetalk.com/providers/udemy/courses/excel-best-practices-how-to-become-an-excel-expert","Udemy","$99.00"
"12","Bogdan Vaida","Expert Screenflow skills in 29 days guaranteed!",10,"","130 reviews","Practically learn the ins and outs of Screenflow video editing by creating real life educational materials!","https://www.coursetalk.com/providers/udemy/courses/create-amazing-videos-that-mesmerize-your-viewers-instantly","Udemy","$197.00"
"13","Bogdan Vaida","Develop your Social Intelligence",10,"","110 reviews","Quickly understand why others act through psychological personality patterns","https://www.coursetalk.com/providers/udemy/courses/social-smartness-21","Udemy","$97.00"
"14","Al Filreis","Modern & Contemporary American Poetry",10,"University of Pennsylvania","170 reviews","ModPo is a fast-paced introduction to modern and contemporary U.S. poetry, with an emphasis on experimental verse, from Dickinson and Whitman to the present. Participants (who need no prior experience with poetry) will learn how to read poems that are supposedly ""difficult.""","https://www.coursetalk.com/providers/coursera/courses/modern-contemporary-american-poetry","Coursera","Free"
"15","PAUL CASTRO","THE MILLION DOLLAR SCREENPLAY!  Write your movie today!",10,"","122 reviews","Learn the screenwriting secrets behind successful cinematic stories in the world of film & television script writing.","https://www.coursetalk.com/providers/udemy/courses/the-million-dollar-screenwriter","Udemy","$299.00"
"16","Barin Cristian Doru","Learn Photoshop, Web Design & Profitable Freelancing",10,"","113 reviews","Learn Photoshop and use it to create amazing website designs and earn money in design contests. No coding needed!","https://www.coursetalk.com/providers/udemy/courses/learn-photoshop-web-design-profitable-freelancing","Udemy","$300.00"
"17","Cathy Presland","Becoming A Writer",10,"","116 reviews","Writing Warm-Up Exercises - Learn The Basics Of Great Non-Fiction Writing In Three Minutes A Day","https://www.coursetalk.com/providers/udemy/courses/becoming-a-writer","Udemy","$87.00"
"18","Alun Hill","YOUTUBE How I Make $2000 A Month On YouTube With No Filming",10,"","139 reviews","Learn exactly how I make $2,000 a month on YouTube with no marketing, no filming and no website! Everything is included.","https://www.coursetalk.com/providers/udemy/courses/how-i-make-2000-a-month-on-youtube-and-no-filming","Udemy","$299.00"
"19","Brad Hussey, Code College","Build Websites from Scratch with HTML & CSS",10,"","146 reviews","Learn Web Development Essentials and Become a Web Developer From Scratch in this Complete HTML & CSS Beginner's Course","https://www.coursetalk.com/providers/udemy/courses/build-a-website-from-scratch-with-html-css","Udemy","$149.00"
"20","Chris Bryant","CCNA 2016 200-120 Video Boot Camp With Chris Bryant",10,"","160 reviews","In February, Get My CCNA Security Course FREE When You Join My CCNA Video Boot Camp -- The #1 CCNA Course On Udemy!","https://www.coursetalk.com/providers/udemy/courses/ccna-2015-200-120-video-boot-camp-with-chris-bryant","Udemy","$99.00"
"21","GreyCampus Inc.","ITIL 2011 Foundation Training",10,"","107 reviews","The best value for money course to complete the ITIL 2011 Foundation Certification!","https://www.coursetalk.com/providers/udemy/courses/itil-2011-foundation-training","Udemy","$175.00"
"22","Tara Roskell","How to Design a Logo - a Beginners Course",10,"","97 reviews","Learn how to design a logo from client brief to finished design.","https://www.coursetalk.com/providers/udemy/courses/how-to-design-a-logo-a-beginners-course","Udemy","$45.00"
"23","Jeremy Shuback","Photoshop CS6 Crash Course",10,"","87 reviews","Photoshop CS6 will be yours to command in 4 hours!","https://www.coursetalk.com/providers/udemy/courses/photoshop-cs6-crash-course","Udemy","$40.00"
"24","Captain Chris Pizzo","Learn Close Combat Training: Military Hand-To-Hand Combat",10,"","87 reviews","Military Hand-To-Hand Self Defense System Lets You Humiliate Younger, Tougher, BIGGER and More Experienced Attackers.","https://www.coursetalk.com/providers/udemy/courses/learn-close-combat-training-military-hand-to-hand-combat","Udemy","$149.00"
"25","Training The Street (TTS)","Financial Modeling: How to Build a Complete Model with Excel",10,"","91 reviews","A step-by-step course on how to build a financial model directly based on TTS’s live courses at top Wall Street firms.","https://www.coursetalk.com/providers/udemy/courses/financial-modeling-how-to-build-a-complete-model-with-excel","Udemy","$199.00"
"26","Harald Tschuggnall","SEO Secrets",10,"","85 reviews","SEO: Learn Step-by-Step How to Create a Winning SEO (Search Engine Optimisation) Strategy to get more SEO Traffic!","https://www.coursetalk.com/providers/udemy/courses/seo-secrets-make-more-money-from-free-google-traffic","Udemy","$297.00"
"27","The Speed Reading Coach","Speed Reading Work/Leisure. Read 33%+ Faster or Money  Back.",10,"","102 reviews","Speed Reading is a skill that can be learnt. Blast through books, documents and social media. Guaranteed 33% improvement","https://www.coursetalk.com/providers/udemy/courses/speed-reading-workleisure-read-33-faster-or-money-back","Udemy","$79.00"
"28","Training The Street (TTS)","Merger Bundle: Crack Excel with Modeling & Best Practices",10,"","103 reviews","Learn Excel Best Practices, Financial Modeling, Merger Modeling, and Advanced Modeling Topics.","https://www.coursetalk.com/providers/udemy/courses/merger-bundle-crack-excel-with-modeling-best-practices","Udemy","$299.00"
"29","Phil Pustejovsky","Creative Real Estate Investing & Flipping Houses",10,"","106 reviews","What most people will never know about investing in real estate creatively (without cash or credit) and flipping houses.","https://www.coursetalk.com/providers/udemy/courses/creative-real-estate-investing-flipping-houses","Udemy","$9.00"
"30","John Lee Dumas","Podcast: The top 8 ways to monetize by Podcasting",10,"","106 reviews","Podcast host John Lee Dumas of EntrepreneurOnFire generates $200,000+ a month Podcasting & shares the top 8 ways w/ YOU!","https://www.coursetalk.com/providers/udemy/courses/podcast-the-top-8-ways-to-monetize-by-podcasting","Udemy","$77.00"
"31","Anthony Alicea","Learn and Understand AngularJS",10,"","79 reviews","Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.","https://www.coursetalk.com/providers/udemy/courses/learn-and-understand-angularjs","Udemy","$99.00"
"32","William Kuskin","Comic Books and Graphic Novels",10,"University of Colorado Boulder","75 reviews","Comic books have arrived! ""Comic Books and Graphic Novels"" presents a survey of the Anglo-American comic book canon and of the major graphic novels in circulation in the United States today. Its governing question is simple: by what terms can we discuss comic books as literary art? In pursuit of that question it develops a theory of literary reading and time itself.

Visit us at www.facebook.com/UCBComics or bit.ly/project10-4 to see some student-created comics from 2013!","https://www.coursetalk.com/providers/coursera/courses/comic-books-and-graphic-novels","Coursera","Free"
"33","Training The Street (TTS)","Merger Modeling: How to Build a Complete Model with Excel",10,"","75 reviews","A step-by-step guide on building a merger model (accretion/dilution model) based on TTS’s courses at Wall Street firms.","https://www.coursetalk.com/providers/udemy/courses/merger-modeling-how-to-build-a-complete-model-with-excel","Udemy","$149.00"
"34","Scott Britton","Crack Cold Emailing to Increase Sales and Grow Your Business",10,"","84 reviews","Grow your business, increase sales, and expand your network by mastering cold emailing with this step by step guide.","https://www.coursetalk.com/providers/udemy/courses/crack-cold-emailing-to-increase-sales-and-grow-your-business","Udemy","$197.00"
"35","Craig Dennis","Java Objects",10,"","81 reviews","Java is an Object Oriented Programming language. Literally everything is an
object, so understanding them is critical to your Java foundational base.In
this course, we will learn how to create, use and express ideas using objects.","https://www.coursetalk.com/providers/treehouse/courses/java-objects-2","Treehouse","$25/mo"
"36","Len Smith, Sean Kaye","SEO beginners: how I get 1,000 visitors a day with SEO",10,"","74 reviews","Search Engine Optimization, SEO. Learn how, as a freelancer working from home, I get 1,000 visitors a day. SEO easy!","https://www.coursetalk.com/providers/udemy/courses/seo-googleboost-startup-how-i-get-1000-visitors-a-day","Udemy","$120.00"
"37","Vanessa Van Edwards","How to Be A Human Lie Detector",10,"","78 reviews","Know when someone is lying to you. You will learn how to spot deception and uncover hidden emotions.","https://www.coursetalk.com/providers/udemy/courses/how-to-be-a-human-lie-detector","Udemy","$69.00"
"38","Tech Lemur","Crash Course: Fundamentals Of HTML & CSS From Scratch.",10,"","83 reviews","Learn The Fundamentals Of HTML & CSS From Scratch In This Beginners Step-By-Step Crash Course.","https://www.coursetalk.com/providers/udemy/courses/crash-course-fundamentals-of-html-css-from-scratch","Udemy","$99.00"
"39","Dan Bacon","Approaching and Talking to Women: For Beginners",10,"","83 reviews","Start conversations with women in different environments. Get phone numbers or add women to Facebook and begin dating.","https://www.coursetalk.com/providers/udemy/courses/approaching-and-talking-to-women-for-beginners","Udemy","$19.00"
"40","Accounting Coach Online","Accounting: Get Hired Without Work Experience",10,"","83 reviews","Learn How to Enhance Your Career and Employability Skills","https://www.coursetalk.com/providers/udemy/courses/accounting-get-hired-without-work-experience","Udemy","$99.00"
"41","Ahmed Alterani","BA_106: مبادئ إدارة الموارد البشرية",10,"","69 reviews","إنّ طبيعة العمل وبيئة الأعمال تتغيّر بشكل كبير في كل يوم. في العقود الماضية، كانت الشركات التي تتمتّع بالميّزة التنافسية الكُبرى هي تلك الشركات التي تُقدّم أفضل المنتجات أو أحدث التقنيات أو الأكبر من حيث رأس المال. ولكن الآن، الأمر الوحيد الذي من شأنه أن يُعزز من ميّزة شركة ما هو مستوى الأشخاص العاملين لديها. حيث يكمن النجاح الدائم في العمل والميّزة الاستراتيجية الحقيقية في تلك الشركات الأقدر على استقطاب وتنمية والحفاظ على المواهب البشرية اللامعة في سوق العمل. إلا أن إدارة القوى العاملة في الشركة والعلاقة المتجددة ما بين الموظف وصاحب العمل، عادةً ما تكون المهمّة الأصعب والأكثر تعقيداً..الهدف من هذا المساق هو فهم المبادئ الأساسية لإدراة الموارد البشرية في شركات العصر الحديث لإطلاق ميّزتها التنافسية. وفهم أكبر لكيفية قيام الشركات بتوظيف ومكافأة وتحفيز واستخدام وإدراة العاملين لديها بفعالية. بالإضافة إلى تقديم إطار مفاهيم بسيط حول الوظائف والأدوار في إدراة الموارد البشرية، سيعمل المساق على تقديم ممارسات وأساليب رئيسية لك تتعلّق بالتخطيط للموارد البشرية وتحليل الوظائف وتصميمها، والتعيين والاختيار والتدريب والتطوير، وإدراة الأداء وأخيراً المكافآت والأجور. .","https://www.coursetalk.com/providers/edraak/courses/ba_106-mbdy-dr-lmwrd-lbshry","Edraak","Free"
"42","Bogdan Vaida","Practical time management for busy people",10,"","73 reviews","Discover How You Can Eliminate Procrastination, Interruptions And Busyness In Just 30 Days","https://www.coursetalk.com/providers/udemy/courses/practical-time-management-for-busy-people","Udemy","$46.00"
"43","Craig Dennis","Java Basics",10,"","69 reviews","In this course you will gain all the knowledge you will need to build an
interactive command line program in Java. No prior programming experience is
required. You will create an interactive game that prompts users for different
parts of a sentence and then generates a story using those words.","https://www.coursetalk.com/providers/treehouse/courses/java-basics-2","Treehouse","$25/mo"
"44","Alex Glassey","Financial Statements Made Easy",10,"","69 reviews","Learn the basics of the Income Statement, Balance Sheet and Cash Flow Statement and understand how they fit together.","https://www.coursetalk.com/providers/udemy/courses/financial-statements-made-easy","Udemy","$19.00"
"45","Michel Buffa","HTML5 Part 1: HTML5 Coding Essentials and Best Practices",10,"The World Wide Web Consortium (W3C)","70 reviews","HTML5 is the standard language of the Web, developed by the World Wide Web Consortium, also known as W3C. HTML5 is and will continue to be THE essential technology for organizations delivering applications across multiple platforms.

As such, HTML5 is now supported on mobile phones, connected objects, game consoles, automobile dashboards, and devices that haven’t even been considered yet. Write once and deploy anywhere!

In this course, you will learn all the new features that were introduced with HTML5 to help create great Web sites and applications, in a simplified but powerful way.
​
HTML5 provides native support for video and audio without plug-ins, provides support for offline applications and for games with smooth interactive animations, and much more. HTML5 represents the set of features that entrepreneurs and organizations will rely on for years to come.","https://www.coursetalk.com/providers/edx/courses/learn-html5-from-w3c","edX","Free"
"46","Tom Corson-Knowles","How To Become a Bestselling Author on Amazon Kindle",10,"","70 reviews","Learn how to make money writing with this complete guide to writing, formatting, publishing and marketing Kindle ebooks","https://www.coursetalk.com/providers/udemy/courses/how-to-become-a-bestselling-author-on-amazon-kindle","Udemy","$297.00"
"47","Bernie Raffe AMPA","Photography - Become a Better Photographer - Part I",10,"","70 reviews","See results today! 50 photography tips for taking amazing photos with your DSLR, Mirrorless or compact camera.","https://www.coursetalk.com/providers/udemy/courses/photography-become-a-better-photographer-part-i","Udemy","$39.00"
"48","John Purcell","The Java Spring Tutorial: Learn Java's Popular Web Framework",10,"","69 reviews","Learn the hottest, most in-demand Java web framework, including web programming with Spring MVC and Hibernate. Lifetime access with no subscription on Udemy.","https://www.coursetalk.com/providers/udemy/courses/the-java-spring-tutorial-learn-javas-popular-web-framework","Udemy","$39.00"
"49","Steve Alcorn","Novel Writing Workshop",10,"","71 reviews","Turn your idea into a published novel, step by step. Includes 27 video lessons!","https://www.coursetalk.com/providers/udemy/courses/novel-writing-workshop","Udemy","$199.00"
"50","Prof. Anna Goldentouch, Jonathan Levi, Lev Goldentouch","Become a SuperLearner: Learn Speed Reading & Advanced Memory",10,"","72 reviews","Learn faster and more effectively by harnessing the skills of the world's fastest readers and memory record-holders.","https://www.coursetalk.com/providers/udemy/courses/become-a-superlearner-learn-speed-reading-advanced-memory","Udemy","$149.00"
"51","BenJamin Wilson","Udemy Insights: Double Your Udemy Course Sales",10,"","68 reviews","Udemy: Top 6 Proven Marketing Strategies to Rank for Udemy's Search Engine, Categories, AND Increase Your Conversions!","https://www.coursetalk.com/providers/udemy/courses/double-your-udemy-course-sales-in-just-2-hours-guaranteed","Udemy","$247.00"
"52","John Michaloudis","Excel with Excel Pivot Tables!",10,"","62 reviews","The Complete Excel Pivot Table Guide for Excel 2007, 2010 & 2013.  Become an Advanced Excel user & get that Dream Job!","https://www.coursetalk.com/providers/udemy/courses/excel-with-excel-pivot-tables","Udemy","$299.00"
"53","Otto Scharmer, Adam Yukelson, Dayna Cunningham, Kelvy Bird, Ela Ben-Ur, Lili Xu Brandt, Julie Arts, Arawana Hayashi","Transforming Business, Society, and Self with U.Lab",10,"MIT","67 reviews","We live in a time of disruptive change, one that requires a new collective leadership capacity. In this groundbreaking course, we invite you on a journey to see the world in new ways and practice a method that allows leaders, entire organizations, and larger social systems to connect with and actualize their highest future possibility.

In January 2015, 30,000 people from 190 countries enrolled in U.Lab. In an exit survey, 52% said it was “eye-opening”, while another 36% called it “life-changing”. U.Lab has inspired the first-known use of a MOOC by a government as a platform for citizens to shape the issues that matter to them, it has been used in management teams of the world’s leading NGOs, and it is now being used in 42 Impact Hubs worldwide – by locally-rooted, globally connected communities of change makers to catalyze systemic change.

In the U.Lab you will learn Theory U, an approach to leading profound change that has been developed by action researchers at MIT, and practiced by leaders around the world, for over 20 years.

You will apply this method to a challenge, issue, or system that matters to you.

And you will have the opportunity to form self-organized Hubs and peer coaching circles with other U.Lab participants; in order to co-sense and co-shape the future that you feel is wanting to emerge in your work, and life, right now.

You will be joining a community that includes national government leaders from Scotland, founders and members of 42 Impact Hubs around the world, business leaders in the U.S, Brazil, and China, and many other inspired change makers from over 190 countries worldwide who are interested in creating more aware, inclusive, sustainable societies.","https://www.coursetalk.com/providers/edx/courses/ulab-transforming-business-society-and-self","edX","Free"
"54","Len Smith, Sean Kaye","Copyright Basics: How to Protect Your Work from Piracy",10,"","67 reviews","Protect your most valuable asset - your intellectual property.","https://www.coursetalk.com/providers/udemy/courses/copyright-basics-how-to-protect-your-work-from-piracy","Udemy","$9.00"
"55","David J. Nightingale","The Art of Black and White Photography",10,"","67 reviews","Learn how to create dramatic and compelling black and white images using a range of powerful Photoshop techniques.","https://www.coursetalk.com/providers/udemy/courses/the-art-of-black-and-white-photography","Udemy","$149.00"
"56","Tiago Baciotti Moreira","Microsoft Excel 2013 Completo - Mão na Massa!",10,"","68 reviews","Iniciante - Intermediário - Avançado - Domine os poderosos recursos para trabalhar de forma eficiente com Excel.","https://www.coursetalk.com/providers/udemy/courses/microsoft-excel-2013-completo-mao-na-massa","Udemy","$68.00"
"57","Yohann Taieb, Vojtect Svarc","Publish Your Flappy Bird* iPhone Game, EZ & No Coding, iOS9+",10,"","66 reviews","Do you want to ride the trends of the Flappy Bird game? Create your own clone with this course + source code included.","https://www.coursetalk.com/providers/udemy/courses/publish-your-flappy-bird-clone-iphone-game-ez-no-coding","Udemy","$127.00"
"58","Smartherd Developers","Android Lollipop and Marshmallow App Tutorials: Make 20 Apps",10,"","62 reviews","This course is designed for Android enthusiast’s to earn valuable skills of its usage and application from scratch.","https://www.coursetalk.com/providers/udemy/courses/android-lollipop-tutorials-make-20-apps-one-live-project","Udemy","$287.00"
"59","Ariel Fenster, David N. Harpp, Joe Schwarcz","Food for Thought",10,"McGill","57 reviews","Eating well and understanding the nuances of food has become a complicated and often confusing experience. Virtually every day brings news about some “miracle food” that we should be consuming or some ""poison"" we should be avoiding. One day it's tomatoes to prevent cancer, then flaxseed against heart disease or soybeans for menopause. At the same time, we are warned about trans fats, genetically modified foods, aspartame and MSG. Dietary supplements are often touted as the key to health or a factor in morbidity. According to some, dairy products are indispensable while others urge us to avoid them. The same goes for meat, wheat and soy; the list goes on.

This course will shed light on the molecules that constitute our macro and micronutrients and will attempt to clarify a number of the food issues using the most relevant, up-to-date science available. Other topics to be presented will include the diet-cancer relationship, the link between diet and cardiovascular disease, food-borne illnesses, food additives and weight control.","https://www.coursetalk.com/providers/edx/courses/chem181x-food-for-thought-4","edX","Free"
"60","Michael J. Sandel","Justice",10,"Harvard University","58 reviews","HarvardX is proud to relaunch this introduction to Justice with new videos and discussion forums in multiple languages! 

Taught by lauded Harvard professor Michael Sandel, Justice explores critical analysis of classical and contemporary theories of justice, including discussion of present-day applications. Topics include affirmative action, income distribution, same-sex marriage, the role of markets, debates about rights (human rights and property rights), arguments for and against equality, dilemmas of loyalty in public and private life. The course invites learners to subject their own views on these controversies to critical examination.

The principal readings for the course are texts by Aristotle, John Locke, Immanuel Kant, John Stuart Mill, and John Rawls. Other assigned readings include writings by contemporary philosophers, court cases, and articles about political controversies that raise philosophical questions.

Closed Captioning and discussion forums are available in Chinese, German, Portuguese, and Spanish.


HarvardX requires individuals who enroll in its courses on edX to abide by the terms of the edX honor code. HarvardX will take appropriate corrective action in response to violations of the edX honor code, which may include dismissal from the HarvardX course; revocation of any certificates received for the HarvardX course; or other remedies as circumstances warrant. No refunds will be issued in the case of corrective action for such violations. Enrollees who are taking HarvardX courses as part of another program will also be governed by the academic policies of those programs.

HarvardX pursues the science of learning. By registering as an online learner in an HX course, you will also participate in research about learning. Read our research statement to learn more.

Harvard University and HarvardX are committed to maintaining a safe and healthy educational and work environment in which no member of the community is excluded from participation in, denied the benefits of, or subjected to discrimination or harassment in our program. All members of the HarvardX community are expected to abide by Harvard policies on nondiscrimination, including sexual harassment, and the edX Terms of Service. If you have any questions or concerns, please contact harvardx@harvard.edu and/or report your experience through the edX contact form.","https://www.coursetalk.com/providers/edx/courses/er221x-justice-2","edX","Free"
"61","Chris Benjamin","Financial Modeling in Excel for Startups",10,"","58 reviews","Learn to create a financial model for a startup business from scratch using Microsoft Excel from startup expert Chris B.","https://www.coursetalk.com/providers/udemy/courses/financial-modeling-in-excel-for-startups","Udemy","$99.00"
"62","Eric S. Lander, Michelle Mischke, Brian White, Mary Ellen Wiltrout, Graham Walker","Introduction to Biology - The Secret of Life",10,"MIT","58 reviews","7.00x is an introductory level biology course hosted by professor Eric Lander, who was one of the leaders of the Human Genome Project. The course content reflects the topics taught in the MIT introductory biology courses and many biology courses across the world. As a student, you will first focus on the structure and function of macromolecules such as DNA, RNA and proteins. You will discover how changes in the structure of some of these macromolecules alter their functions and what the implications of such changes have on human health. As you continue in the course, you will apply an understanding of heredity and information flow within cells to human health and disease and will learn about molecular biological techniques and their potential to impact our changing world. After you complete this course, you will have a foundation in biology that will allow you to understand the remarkable medical revolution going on today.

Each week features a series of lecture sequences that are supported by interactive video tutorials and interspersed exercises or problems. Students will work on a homework assignment or exam each week. The course will conclude with a comprehensive final exam. 7.00x – The Secret of Life will let you explore the mysteries of biochemistry, genetics, molecular biology, recombinant DNA technology and genomics, and rational medicine. We are excited to take this journey with you!

Before your course starts, try the new edX Demo where you can explore the fun, interactive learning environment and virtual labs. Learn more.","https://www.coursetalk.com/providers/edx/courses/700x-introduction-to-biology-the-secret-of-life-1","edX","Free"
"63","Sebastian Sulinski","Build E-commerce website with PHP, MySQL, jQuery and PayPal",10,"","59 reviews","Learn how to build a fully functional E-commerce website with Object Oriented PHP, MySQL, jQuery and PayPal.","https://www.coursetalk.com/providers/udemy/courses/build-e-commerce-website-with-php-mysql-jquery-and-paypal","Udemy","$150.00"
"64","John Purcell","Java Swing (GUI) Programming: From Beginner to Expert",10,"","59 reviews","Learn how to create desktop and Internet GUI Java programs and take your Java programming to the next level.","https://www.coursetalk.com/providers/udemy/courses/java-swing-gui-programming-from-beginner-to-expert","Udemy","$49.00"
"65","Jerry Banfield, Joseph Delgadillo, Michel Gerard","The Complete Facebook Ads and Facebook Marketing Course 2016",10,"","60 reviews","Facebook advertising and Facebook marketing get a lot easier when you take this course! Last updated February 2016!","https://www.coursetalk.com/providers/udemy/courses/facebook-marketing-ads-2015-for-business-and-entrepreneurs","Udemy","$199.00"
"66","Len Smith, Sean Kaye","Copywriting - become a Copywriter : Make  money from home",10,"","60 reviews","BUILD A SUCCESSFUL FREELANCE COPYWRITING BUSINESS – HOW TO TURN BASIC WRITING SKILLS INTO A PAYCHECK","https://www.coursetalk.com/providers/udemy/courses/become-a-freelance-copywriter-make-money-from-home","Udemy","$120.00"
"67","Bogdan Vaida","Build habits that last! 1320 students apply this easy system",10,"","67 reviews","Apply this foolproof training to build powerful habits that last a lifetime","https://www.coursetalk.com/providers/udemy/courses/build-habits-that-last-1216-students-apply-this-easy-system","Udemy","$45.00"
"68","Brian Schmidt, Paul Francis","Greatest Unsolved Mysteries of the Universe",10,"Australian National University","60 reviews","Despite spectacular recent progress, there is still a lot we don't know about our universe. We don't know why the Big Bang happened. We don't know what most of the universe is made of. We don't know whether there is life in space. We don't know how planets form, how black holes get so big, or where the first stars have gone. This course will take you through nine of the greatest unsolved problems of modern astrophysics. We can't promise you the answers, but we will explain what we do and don't know, and give you an up-to-date understanding of current research. This course is designed for people who would like to get a deeper understanding of these mysteries than that offered by popular science articles and shows. 

This is the first of four ANUx courses which together make up the Australian National University's first year astrophysics program. It is followed by courses on exoplanets, on the violent universe, and on cosmology. These courses compromise the Astrophysics XSeries. Learn more about the XSeries program and register for all the courses in the series today!","https://www.coursetalk.com/providers/edx/courses/anu-astro1x-greatest-unsolved-mysteries-of-the-universe-3","edX","Free"
"69","Bogdan Vaida","PREPOSTEROUS: Down and dirty photoshop!",10,"","57 reviews","Master Photoshop by applying the most sought-after photo effects","https://www.coursetalk.com/providers/udemy/courses/learn-photoshop-in-23-easy-to-follow-real-world-examples","Udemy","$27.00"
"70","Kain Ramsay","The Complete Guide to Building 'Fail-Proof' Relationships",10,"","65 reviews","High Impact Strategies for Transforming the Quality of Your Intimate, Social & Professional Relationships","https://www.coursetalk.com/providers/udemy/courses/how-to-build-high-quality-relationships-that-last","Udemy","$149.00"
"71","Richard Duncan","Capitalism in Crisis: The global economic crisis explained",10,"","50 reviews","The global economy is teetering of the verge of collapsing into a new great depression. Learn why and what's next.","https://www.coursetalk.com/providers/udemy/courses/capitalism-in-crisis-the-global-economic-crisis-explained","Udemy","$100.00"
